,datetime,open,high,low,close,volume,hold
562,2025-07-02 11:05:00,5064.0,5064.0,5062.0,5064.0,304,204617
563,2025-07-02 11:06:00,5066.0,5070.0,5066.0,5068.0,965,204653
564,2025-07-02 11:07:00,5068.0,5070.0,5066.0,5068.0,918,204423
565,2025-07-02 11:08:00,5068.0,5074.0,5066.0,5070.0,1537,203823
566,2025-07-02 11:09:00,5072.0,5072.0,5068.0,5070.0,671,203749
567,2025-07-02 11:10:00,5070.0,5072.0,5066.0,5066.0,689,203600
568,2025-07-02 11:11:00,5068.0,5070.0,5066.0,5068.0,807,203349
569,2025-07-02 11:12:00,5066.0,5070.0,5066.0,5068.0,580,203267
570,2025-07-02 11:13:00,5066.0,5070.0,5066.0,5068.0,254,203157
571,2025-07-02 11:14:00,5068.0,5072.0,5068.0,5072.0,528,203039
572,2025-07-02 11:15:00,5072.0,5072.0,5070.0,5070.0,245,202996
573,2025-07-02 11:16:00,5072.0,5072.0,5068.0,5070.0,895,202902
574,2025-07-02 11:17:00,5070.0,5072.0,5068.0,5068.0,398,202931
575,2025-07-02 11:18:00,5068.0,5070.0,5064.0,5064.0,1045,203188
576,2025-07-02 11:19:00,5064.0,5072.0,5064.0,5070.0,1387,203119
577,2025-07-02 11:20:00,5070.0,5074.0,5070.0,5074.0,690,203008
578,2025-07-02 11:21:00,5072.0,5072.0,5070.0,5070.0,585,202943
579,2025-07-02 11:22:00,5070.0,5072.0,5070.0,5070.0,631,202858
580,2025-07-02 11:23:00,5070.0,5072.0,5068.0,5068.0,154,202865
581,2025-07-02 11:24:00,5068.0,5070.0,5068.0,5068.0,116,202816
582,2025-07-02 11:25:00,5068.0,5070.0,5068.0,5070.0,145,202765
583,2025-07-02 11:26:00,5070.0,5070.0,5068.0,5068.0,160,202699
584,2025-07-02 11:27:00,5068.0,5070.0,5068.0,5068.0,233,202685
585,2025-07-02 11:28:00,5068.0,5070.0,5068.0,5068.0,110,202684
586,2025-07-02 11:29:00,5068.0,5070.0,5068.0,5070.0,89,202688
587,2025-07-02 11:30:00,5070.0,5070.0,5066.0,5068.0,604,202469
588,2025-07-02 13:31:00,5070.0,5074.0,5068.0,5072.0,1989,202434
589,2025-07-02 13:32:00,5074.0,5074.0,5070.0,5072.0,633,202232
590,2025-07-02 13:33:00,5072.0,5072.0,5068.0,5070.0,967,201988
591,2025-07-02 13:34:00,5072.0,5072.0,5070.0,5070.0,305,201944
592,2025-07-02 13:35:00,5070.0,5072.0,5070.0,5072.0,376,201890
593,2025-07-02 13:36:00,5072.0,5080.0,5070.0,5078.0,2719,201142
594,2025-07-02 13:37:00,5076.0,5080.0,5076.0,5078.0,1110,201069
595,2025-07-02 13:38:00,5080.0,5080.0,5078.0,5078.0,558,200987
596,2025-07-02 13:39:00,5078.0,5086.0,5078.0,5082.0,2053,200738
597,2025-07-02 13:40:00,5084.0,5090.0,5082.0,5088.0,3748,199768
598,2025-07-02 13:41:00,5088.0,5090.0,5086.0,5088.0,1748,199872
599,2025-07-02 13:42:00,5086.0,5088.0,5084.0,5084.0,941,199632
600,2025-07-02 13:43:00,5084.0,5084.0,5080.0,5082.0,1094,199417
601,2025-07-02 13:44:00,5080.0,5082.0,5080.0,5082.0,624,199362
