,Open,High,Low,Close,Volume
21/05/2025 14:30,96,98,100,98,1327
21/05/2025 14:45,98,104,102,104,661
21/05/2025 15:00,104,106,102,98,1953
21/05/2025 21:15,84,100,94,102,4755
21/05/2025 21:30,102,100,100,98,2441
21/05/2025 21:45,98,104,96,98,1820
21/05/2025 22:00,98,98,98,100,2577
21/05/2025 22:15,100,100,102,98,1593
21/05/2025 22:30,96,100,96,98,1146
21/05/2025 22:45,98,100,100,102,1418
21/05/2025 23:00,100,100,102,94,842
22/05/2025 09:15,92,94,98,100,2350
22/05/2025 09:30,98,98,96,94,1309
22/05/2025 09:45,94,98,96,100,668
22/05/2025 10:00,100,102,98,100,955
22/05/2025 10:15,100,102,104,102,472
22/05/2025 10:45,102,104,102,106,1009
22/05/2025 11:00,106,106,106,106,486
22/05/2025 11:15,106,106,106,106,601
22/05/2025 11:30,108,106,108,108,310
22/05/2025 13:45,108,110,106,110,1358
22/05/2025 14:00,110,110,110,108,531
22/05/2025 14:15,108,110,112,110,85
22/05/2025 14:30,110,112,116,114,377
22/05/2025 14:45,114,116,116,114,973
22/05/2025 15:00,116,120,116,124,3646
22/05/2025 21:15,106,116,118,118,4524
22/05/2025 21:30,118,116,116,116,2252
22/05/2025 21:45,116,118,112,112,1563
22/05/2025 22:00,112,114,112,112,1219
22/05/2025 22:15,112,118,114,120,772
22/05/2025 22:30,120,118,118,122,306
22/05/2025 22:45,122,120,120,118,199
22/05/2025 23:00,118,116,118,120,554
23/05/2025 09:15,116,120,116,122,2502
23/05/2025 09:30,122,120,118,118,598
23/05/2025 09:45,118,120,118,120,-4134
23/05/2025 10:00,120,120,118,116,336
23/05/2025 10:15,118,118,116,118,545
23/05/2025 10:45,116,118,116,116,429
23/05/2025 11:00,116,116,114,116,904
23/05/2025 11:15,116,116,116,118,264
23/05/2025 11:30,118,118,116,116,456
23/05/2025 13:45,116,118,116,118,2701
23/05/2025 14:00,118,118,116,116,1804
23/05/2025 14:15,116,116,114,114,2598
23/05/2025 14:30,114,112,110,112,2528
23/05/2025 14:45,112,114,116,118,1320
23/05/2025 15:00,118,120,110,116,2975
23/05/2025 21:15,112,112,108,110,10338
23/05/2025 21:30,110,112,110,110,1807
23/05/2025 21:45,110,110,110,112,2536
23/05/2025 22:00,112,110,110,110,1307
23/05/2025 22:15,108,110,108,110,729
23/05/2025 22:30,110,116,110,112,2359
23/05/2025 22:45,112,116,114,114,956
23/05/2025 23:00,114,120,116,118,1656
26/05/2025 09:15,120,120,106,108,6265
26/05/2025 09:30,108,106,106,108,2190
26/05/2025 09:45,108,110,108,108,864
26/05/2025 10:00,108,112,108,110,686
26/05/2025 10:15,110,114,112,110,648
26/05/2025 10:45,110,112,108,108,2159
26/05/2025 11:00,108,110,106,108,913
26/05/2025 11:15,108,108,106,106,834
26/05/2025 11:30,106,110,108,112,1671
26/05/2025 13:45,112,110,110,106,773
26/05/2025 14:00,106,108,106,106,2096
26/05/2025 14:15,106,106,104,104,967
26/05/2025 14:30,102,106,102,104,606
26/05/2025 14:45,104,102,98,100,2630
26/05/2025 15:00,100,96,96,100,2863
26/05/2025 21:15,98,94,84,84,8393
26/05/2025 21:30,82,84,82,86,2495
26/05/2025 21:45,86,86,80,84,6037
26/05/2025 22:00,84,84,80,80,6205
26/05/2025 22:15,80,78,84,86,3143
26/05/2025 22:30,84,86,84,86,1857
26/05/2025 22:45,84,86,86,86,1783
26/05/2025 23:00,88,88,88,88,1814
27/05/2025 09:15,90,90,76,70,9139
27/05/2025 09:30,70,58,66,54,3222
27/05/2025 09:45,56,48,52,34,4156
27/05/2025 10:00,32,30,30,28,2239
27/05/2025 10:15,28,28,42,40,1397
27/05/2025 10:45,40,40,40,42,4793
27/05/2025 11:00,42,48,42,46,3257
27/05/2025 11:15,46,48,40,42,1517
27/05/2025 11:30,44,42,40,40,1735
27/05/2025 13:45,40,42,44,42,1175
27/05/2025 14:00,42,42,44,42,729
27/05/2025 14:15,42,48,44,46,1048
27/05/2025 14:30,46,50,46,46,1325
27/05/2025 14:45,44,48,46,46,1181
27/05/2025 15:00,46,48,48,48,3111
27/05/2025 21:15,54,48,54,46,5946
27/05/2025 21:30,46,46,40,38,2416
27/05/2025 21:45,38,42,42,46,1106
27/05/2025 22:00,46,44,44,44,700
27/05/2025 22:15,44,44,44,42,775
27/05/2025 22:30,44,46,44,44,603
27/05/2025 22:45,44,44,40,40,1607
27/05/2025 23:00,40,44,40,38,1054
28/05/2025 09:15,34,44,44,42,2291
28/05/2025 09:30,44,42,46,44,1345
28/05/2025 09:45,44,46,42,42,1176
28/05/2025 10:00,42,44,42,44,763
28/05/2025 10:15,44,46,42,44,1013
28/05/2025 10:45,44,44,42,44,1124
28/05/2025 11:00,44,44,40,42,684
28/05/2025 11:15,42,42,42,42,757
28/05/2025 11:30,42,42,42,46,1274
28/05/2025 13:45,46,44,44,42,1437
28/05/2025 14:00,42,42,40,42,1239
28/05/2025 14:15,42,42,44,44,1051
28/05/2025 14:30,44,46,42,44,631
28/05/2025 14:45,44,54,44,52,11751
28/05/2025 15:00,48,48,50,50,3864
28/05/2025 21:15,46,48,50,52,4370
28/05/2025 21:30,52,54,50,52,3184
28/05/2025 21:45,52,54,54,54,2393
28/05/2025 22:00,54,54,52,50,929
28/05/2025 22:15,50,52,50,58,998
28/05/2025 22:30,56,54,56,56,622
28/05/2025 22:45,56,54,52,50,1342
28/05/2025 23:00,50,52,56,58,1937
29/05/2025 09:15,58,58,58,56,3465
29/05/2025 09:30,56,58,56,58,1387
29/05/2025 09:45,58,56,58,56,1006
29/05/2025 10:00,56,56,58,56,1782
29/05/2025 10:15,56,56,58,60,2936
29/05/2025 10:45,60,54,58,56,34970
29/05/2025 11:00,56,56,56,54,45654
29/05/2025 11:15,54,56,58,56,2791
29/05/2025 11:30,56,58,58,62,-6166
29/05/2025 13:45,62,60,60,60,57134
29/05/2025 14:00,62,66,60,62,8841
29/05/2025 14:15,64,68,66,68,7280
29/05/2025 14:30,70,66,70,66,6039
29/05/2025 14:45,64,74,66,72,7718
29/05/2025 15:00,72,70,72,70,8647
29/05/2025 21:15,70,70,62,62,9847
29/05/2025 21:30,62,62,62,66,4767
29/05/2025 21:45,64,66,64,66,3434
29/05/2025 22:00,66,68,68,66,3019
29/05/2025 22:15,66,66,66,64,1286
29/05/2025 22:30,64,70,66,70,1083
29/05/2025 22:45,70,70,68,68,769
29/05/2025 23:00,68,70,68,68,1698
30/05/2025 09:15,68,68,70,68,6789
30/05/2025 09:30,68,66,66,66,2261
30/05/2025 09:45,66,64,64,66,2519
30/05/2025 10:00,66,66,70,68,1032
30/05/2025 10:15,68,68,62,64,2703
30/05/2025 10:45,64,64,64,64,53568
30/05/2025 11:00,64,64,58,54,4582
30/05/2025 11:15,54,54,54,52,3031
30/05/2025 11:30,50,58,54,54,2292
